iter	Passed	Remaining
330	10314	14614
331	10347	14586
332	10381	14558
333	10419	14536
334	10451	14507
335	10483	14476
336	10515	14446
337	10546	14415
338	10581	14389
339	10614	14361
340	10648	14332
341	10678	14300
342	10709	14268
343	10742	14239
344	10775	14210
345	10806	14180
346	10839	14150
347	10869	14117
348	10898	14084
349	10932	14055
350	10963	14024
351	10996	13996
352	11028	13965
353	11061	13936
354	11096	13909
355	11130	13881
356	11164	13853
357	11197	13824
358	11229	13794
359	11264	13767
360	11301	13742
361	11336	13716
362	11371	13689
363	11407	13663
364	11438	13631
365	11470	13601
366	11503	13572
367	11539	13546
368	11575	13520
369	11611	13494
370	11645	13466
371	11679	13437
372	11713	13409
373	11749	13383
374	11785	13357
375	11814	13322
376	11848	13294
377	11879	13262
378	11914	13234
379	11946	13204
380	11972	13166
381	12008	13140
382	12044	13113
383	12071	13077
384	12105	13049
385	12140	13020
386	12172	12990
387	12208	12963
388	12239	12932
389	12272	12902
390	12303	12869
391	12334	12838
392	12362	12803
393	12396	12774
394	12427	12742
395	12460	12711
396	12487	12676
397	12524	12649
398	12558	12621
399	12588	12588
400	12619	12556
401	12654	12528
402	12683	12494
